Auction ID,location,Interval,X,Y,precip,weights
17,"Eastanollee, GA",2004_02,-83.26,34.52,225.99,517.2727273
14,"Fitzgerald, GA",2004_02,-83.25,31.72,75.42,453.3783784
9,"Greensboro, GA",2004_02,-83.18,33.58,116.64,470.8333333
6,"Jackson, GA",2004_02,-83.97,33.3,59.53,450
3,"Lanier, GA",2004_02,-84,34.28,107.98,485.1190476
0,"Moutlrie, GA",2004_02,-83.79,31.19,48.38,476.0869565
18,"Pulaski Co Stockyard, GA",2004_02,-83.47,32.28,223.81,435.2941176
15,"Swainsboro, GA",2004_02,-82.33,32.6,79.37,455
10,"Thomaston, GA",2004_02,-84.33,32.89,98.67,378.2608696
7,"Thomasville, GA",2004_02,-83.98,30.84,102.87,497.972973
4,"Washington, GA",2004_02,-82.74,33.74,103.72,448.3333333
13,"Americus, GA",2004_03,-84.23,32.07,74.38,409.3023256
11,"Ashburn, GA",2004_03,-83.65,31.71,43.67,460.6796117
4,"Athens, GA",2004_03,-83.38,33.96,80.28,437.1621622
20,"Blackshear, GA",2004_03,-82.24,31.31,93.75,468.2539683
17,"Blakely, GA",2004_03,-84.93,31.38,93.22,504.6511628
14,"Calhoun, GA",2004_03,-84.95,34.5,111.34,496.1538462
9,"Carnesville, GA",2004_03,-83.24,34.37,123.64,475.974026
6,"Carrollton, GA",2004_03,-85.08,33.58,79.16,466
3,"Dixie Livestock Market, GA",2004_03,-82.32,32.37,27.91,493.5
0,"Donalsonville, GA",2004_03,-84.88,31.04,88.94,498.8372093
18,"Eastanollee, GA",2004_03,-83.26,34.52,262.6,470.1492537
15,"Fitzgerald, GA",2004_03,-83.25,31.72,103.05,427.34375
10,"Greensboro, GA",2004_03,-83.18,33.58,83.71,453.4090909
7,"Jackson, GA",2004_03,-83.97,33.3,96.11,459.375
4,"Lanier, GA",2004_03,-84,34.28,71.28,506.185567
1,"Moutlrie, GA",2004_03,-83.79,31.19,56.38,501.010101
19,"Pulaski Co Stockyard, GA",2004_03,-83.47,32.28,,450.625
16,"Swainsboro, GA",2004_03,-82.33,32.6,88.31,425
12,"Thomaston, GA",2004_03,-84.33,32.89,134.64,417.8571429
8,"Thomasville, GA",2004_03,-83.98,30.84,101.13,494.9367089
5,"Washington, GA",2004_03,-82.74,33.74,86.53,406.5789474
13,"Americus, GA",2004_04,-84.23,32.07,83.21,446.5277778
11,"Ashburn, GA",2004_04,-83.65,31.71,59.88,461.682243
5,"Athens, GA",2004_04,-83.38,33.96,202.18,428.7037037
0,"Blackshear, GA",2004_04,-82.24,31.31,109.82,447.6190476
18,"Blakely, GA",2004_04,-84.93,31.38,57.06,508.7719298
15,"Calhoun, GA",2004_04,-84.95,34.5,95.93,479.3103448
10,"Carnesville, GA",2004_04,-83.24,34.37,92.51,494.3396226
7,"Carrollton, GA",2004_04,-85.08,33.58,79.28,432.7160494
4,"Dixie Livestock Market, GA",2004_04,-82.32,32.37,97.91,470.2702703
1,"Donalsonville, GA",2004_04,-84.88,31.04,102.05,496.9512195
19,"Eastanollee, GA",2004_04,-83.26,34.52,99.63,483.908046
16,"Fitzgerald, GA",2004_04,-83.25,31.72,94.4,468.0952381
12,"Greensboro, GA",2004_04,-83.18,33.58,80.62,495
8,"Jackson, GA",2004_04,-83.97,33.3,73.4,466.2790698
5,"Lanier, GA",2004_04,-84,34.28,64.59,476.6666667
2,"Moutlrie, GA",2004_04,-83.79,31.19,85.44,493.5483871
20,"Pulaski Co Stockyard, GA",2004_04,-83.47,32.28,,445.2380952
17,"Swainsboro, GA",2004_04,-82.33,32.6,157.49,443.9393939
14,"Thomaston, GA",2004_04,-84.33,32.89,104.28,425
9,"Thomasville, GA",2004_04,-83.98,30.84,61.1,441.7910448
6,"Washington, GA",2004_04,-82.74,33.74,118.35,425.6410256
13,"Americus, GA",2004_05,-84.23,32.07,111.62,440.625
11,"Ashburn, GA",2004_05,-83.65,31.71,123.16,451.0526316
6,"Athens, GA",2004_05,-83.38,33.96,119.07,452.9411765
1,"Blackshear, GA",2004_05,-82.24,31.31,93.72,452.3809524
19,"Blakely, GA",2004_05,-84.93,31.38,106.44,510
16,"Calhoun, GA",2004_05,-84.95,34.5,107.76,474.2857143
12,"Carnesville, GA",2004_05,-83.24,34.37,54.24,477.5
8,"Carrollton, GA",2004_05,-85.08,33.58,98.13,471.1538462
5,"Dixie Livestock Market, GA",2004_05,-82.32,32.37,47.62,469.8529412
2,"Donalsonville, GA",2004_05,-84.88,31.04,76.68,443.9189189
20,"Eastanollee, GA",2004_05,-83.26,34.52,104.9,478.4313725
17,"Fitzgerald, GA",2004_05,-83.25,31.72,82.92,421
14,"Greensboro, GA",2004_05,-83.18,33.58,87.32,461.0169492
9,"Jackson, GA",2004_05,-83.97,33.3,127.73,479.0697674
6,"Lanier, GA",2004_05,-84,34.28,71.11,479.7619048
3,"Moutlrie, GA",2004_05,-83.79,31.19,82.88,455.2631579
0,"Pulaski Co Stockyard, GA",2004_05,-83.47,32.28,114.99,414.4736842
18,"Swainsboro, GA",2004_05,-82.33,32.6,135.15,439.7727273
15,"Thomaston, GA",2004_05,-84.33,32.89,92.95,387.037037
10,"Thomasville, GA",2004_05,-83.98,30.84,75.41,446.6666667
7,"Washington, GA",2004_05,-82.74,33.74,134.34,441.0714286
13,"Americus, GA",2004_06,-84.23,32.07,85.87,430.952381
11,"Ashburn, GA",2004_06,-83.65,31.71,147.8,436.9047619
7,"Athens, GA",2004_06,-83.38,33.96,84.89,473.7288136
2,"Blackshear, GA",2004_06,-82.24,31.31,51.54,446.7391304
20,"Blakely, GA",2004_06,-84.93,31.38,133.11,504.109589
17,"Calhoun, GA",2004_06,-84.95,34.5,122.31,491.8604651
14,"Carnesville, GA",2004_06,-83.24,34.37,104.29,494.4954128
9,"Carrollton, GA",2004_06,-85.08,33.58,53.33,450.9090909
6,"Dixie Livestock Market, GA",2004_06,-82.32,32.37,32.89,463.2352941
3,"Donalsonville, GA",2004_06,-84.88,31.04,41.53,447.4025974
0,"Eastanollee, GA",2004_06,-83.26,34.52,61.62,484.375
18,"Fitzgerald, GA",2004_06,-83.25,31.72,78.65,397.9452055
15,"Greensboro, GA",2004_06,-83.18,33.58,,460.15625
10,"Jackson, GA",2004_06,-83.97,33.3,153.99,436.3095238
7,"Lanier, GA",2004_06,-84,34.28,75.85,482.4324324
4,"Moutlrie, GA",2004_06,-83.79,31.19,72.17,436.3157895
1,"Pulaski Co Stockyard, GA",2004_06,-83.47,32.28,74.91,413.1578947
19,"Swainsboro, GA",2004_06,-82.33,32.6,33.33,423.5849057
16,"Thomaston, GA",2004_06,-84.33,32.89,106.59,427.4193548
12,"Thomasville, GA",2004_06,-83.98,30.84,108.07,478.6666667
8,"Washington, GA",2004_06,-82.74,33.74,117.99,447.2727273
13,"Americus, GA",2004_07,-84.23,32.07,76.67,435.8208955
11,"Ashburn, GA",2004_07,-83.65,31.71,100.01,451.4492754
8,"Athens, GA",2004_07,-83.38,33.96,85.21,426.3888889
3,"Blackshear, GA",2004_07,-82.24,31.31,76.42,411.7647059
0,"Blakely, GA",2004_07,-84.93,31.38,111.16,467.0731707
18,"Calhoun, GA",2004_07,-84.95,34.5,89,485.106383
15,"Carnesville, GA",2004_07,-83.24,34.37,190.59,475.9615385
10,"Carrollton, GA",2004_07,-85.08,33.58,75.03,468.6567164
7,"Dixie Livestock Market, GA",2004_07,-82.32,32.37,25.03,483.9622642
4,"Donalsonville, GA",2004_07,-84.88,31.04,48.99,468.3333333
1,"Eastanollee, GA",2004_07,-83.26,34.52,125.59,475.5555556
19,"Fitzgerald, GA",2004_07,-83.25,31.72,89.85,426.3513514
16,"Greensboro, GA",2004_07,-83.18,33.58,90.02,471.6981132
12,"Jackson, GA",2004_07,-83.97,33.3,160.75,465.0684932
8,"Lanier, GA",2004_07,-84,34.28,79.38,492.3076923
5,"Moutlrie, GA",2004_07,-83.79,31.19,40.47,475
2,"Pulaski Co Stockyard, GA",2004_07,-83.47,32.28,68.44,451.6949153
20,"Swainsboro, GA",2004_07,-82.33,32.6,97.03,451.1111111
17,"Thomaston, GA",2004_07,-84.33,32.89,73.53,425.862069
14,"Thomasville, GA",2004_07,-83.98,30.84,104.31,470.4918033
9,"Washington, GA",2004_07,-82.74,33.74,69.59,455.1724138
13,"Americus, GA",2004_08,-84.23,32.07,85.58,446.8085106
11,"Ashburn, GA",2004_08,-83.65,31.71,108.69,458.1521739
9,"Athens, GA",2004_08,-83.38,33.96,83.82,496.2686567
4,"Blackshear, GA",2004_08,-82.24,31.31,167.14,426.3157895
1,"Blakely, GA",2004_08,-84.93,31.38,120.94,496.5686275
19,"Calhoun, GA",2004_08,-84.95,34.5,60.9,493.1506849
16,"Carnesville, GA",2004_08,-83.24,34.37,257.27,491.3265306
12,"Carrollton, GA",2004_08,-85.08,33.58,72.35,473.75
8,"Dixie Livestock Market, GA",2004_08,-82.32,32.37,26.41,458.6734694
5,"Donalsonville, GA",2004_08,-84.88,31.04,61.51,478.7671233
2,"Eastanollee, GA",2004_08,-83.26,34.52,166.01,497.3958333
20,"Fitzgerald, GA",2004_08,-83.25,31.72,58.73,425.3521127
17,"Greensboro, GA",2004_08,-83.18,33.58,36.66,477.0491803
14,"Jackson, GA",2004_08,-83.97,33.3,138.75,479.8387097
9,"Lanier, GA",2004_08,-84,34.28,85.81,496.5753425
6,"Moutlrie, GA",2004_08,-83.79,31.19,54.81,502.9411765
3,"Pulaski Co Stockyard, GA",2004_08,-83.47,32.28,102.9,463.2743363
0,"Swainsboro, GA",2004_08,-82.33,32.6,73.49,461.2359551
18,"Thomaston, GA",2004_08,-84.33,32.89,87.9,444
15,"Thomasville, GA",2004_08,-83.98,30.84,90.67,467.961165
10,"Washington, GA",2004_08,-82.74,33.74,74.05,464.9253731
13,"Americus, GA",2004_09,-84.23,32.07,123.59,433.3333333
11,"Ashburn, GA",2004_09,-83.65,31.71,119.92,475
10,"Athens, GA",2004_09,-83.38,33.96,159.35,460.7142857
5,"Blackshear, GA",2004_09,-82.24,31.31,166.18,397.0588235
2,"Blakely, GA",2004_09,-84.93,31.38,79.7,465
20,"Calhoun, GA",2004_09,-84.95,34.5,72.28,494.2528736
17,"Carnesville, GA",2004_09,-83.24,34.37,129.66,483.7209302
14,"Carrollton, GA",2004_09,-85.08,33.58,116.45,468.4615385
9,"Dixie Livestock Market, GA",2004_09,-82.32,32.37,61.15,465.9574468
6,"Donalsonville, GA",2004_09,-84.88,31.04,75.97,487.5
3,"Eastanollee, GA",2004_09,-83.26,34.52,118.58,482.8358209
0,"Fitzgerald, GA",2004_09,-83.25,31.72,17.83,410
18,"Greensboro, GA",2004_09,-83.18,33.58,86.89,476.7605634
15,"Jackson, GA",2004_09,-83.97,33.3,93.02,485.625
10,"Lanier, GA",2004_09,-84,34.28,104.12,489.6551724
7,"Moutlrie, GA",2004_09,-83.79,31.19,97.76,474.4680851
4,"Pulaski Co Stockyard, GA",2004_09,-83.47,32.28,131.15,423.0769231
1,"Swainsboro, GA",2004_09,-82.33,32.6,51.61,454.7619048
19,"Thomaston, GA",2004_09,-84.33,32.89,102.52,442.4242424
16,"Thomasville, GA",2004_09,-83.98,30.84,100.62,450
12,"Washington, GA",2004_09,-82.74,33.74,102.52,490
13,"Americus, GA",2004_10,-84.23,32.07,51.66,414.7058824
11,"Ashburn, GA",2004_10,-83.65,31.71,129.93,453.6458333
11,"Athens, GA",2004_10,-83.38,33.96,166.52,519.1489362
6,"Blackshear, GA",2004_10,-82.24,31.31,79.12,413.1944444
3,"Blakely, GA",2004_10,-84.93,31.38,70.63,452.5641026
0,"Calhoun, GA",2004_10,-84.95,34.5,65.08,510.7526882
18,"Carnesville, GA",2004_10,-83.24,34.37,,494.2857143
15,"Carrollton, GA",2004_10,-85.08,33.58,94.77,482.967033
10,"Dixie Livestock Market, GA",2004_10,-82.32,32.37,92.84,473.4375
7,"Donalsonville, GA",2004_10,-84.88,31.04,69.94,461.3636364
4,"Eastanollee, GA",2004_10,-83.26,34.52,134.08,495.3488372
1,"Fitzgerald, GA",2004_10,-83.25,31.72,123.68,419.53125
19,"Greensboro, GA",2004_10,-83.18,33.58,92.08,473.015873
16,"Jackson, GA",2004_10,-83.97,33.3,43.95,454.7297297
12,"Lanier, GA",2004_10,-84,34.28,77.41,474.6987952
8,"Moutlrie, GA",2004_10,-83.79,31.19,86.26,446.4285714
5,"Pulaski Co Stockyard, GA",2004_10,-83.47,32.28,102.42,441.025641
2,"Swainsboro, GA",2004_10,-82.33,32.6,138.6,451.6666667
20,"Thomaston, GA",2004_10,-84.33,32.89,84.81,428.3333333
17,"Thomasville, GA",2004_10,-83.98,30.84,87.45,464.5833333
14,"Washington, GA",2004_10,-82.74,33.74,81.14,464.9253731
13,"Americus, GA",2004_11,-84.23,32.07,55.52,445.1219512
11,"Ashburn, GA",2004_11,-83.65,31.71,128.84,443.1818182
12,"Athens, GA",2004_11,-83.38,33.96,86.93,447.5
7,"Blackshear, GA",2004_11,-82.24,31.31,71.31,392.2222222
4,"Blakely, GA",2004_11,-84.93,31.38,64.65,524.5454545
1,"Calhoun, GA",2004_11,-84.95,34.5,134.73,515.7407407
19,"Carnesville, GA",2004_11,-83.24,34.37,76.31,494.3877551
16,"Carrollton, GA",2004_11,-85.08,33.58,112.99,466.1290323
12,"Dixie Livestock Market, GA",2004_11,-82.32,32.37,95.44,462.3076923
8,"Donalsonville, GA",2004_11,-84.88,31.04,55.3,441.3043478
5,"Eastanollee, GA",2004_11,-83.26,34.52,151,482.967033
2,"Fitzgerald, GA",2004_11,-83.25,31.72,36.53,458.4745763
20,"Greensboro, GA",2004_11,-83.18,33.58,111.35,490.3846154
17,"Jackson, GA",2004_11,-83.97,33.3,46.04,462.7906977
14,"Lanier, GA",2004_11,-84,34.28,92.74,493.9393939
9,"Moutlrie, GA",2004_11,-83.79,31.19,60.56,448.9583333
6,"Pulaski Co Stockyard, GA",2004_11,-83.47,32.28,36.34,437.5
3,"Swainsboro, GA",2004_11,-82.33,32.6,189.72,456.4814815
0,"Thomaston, GA",2004_11,-84.33,32.89,64.54,434.0909091
18,"Thomasville, GA",2004_11,-83.98,30.84,42.78,446.7213115
15,"Washington, GA",2004_11,-82.74,33.74,75.56,480.6451613
13,"Americus, GA",2005_01,-84.23,32.07,122.69,464.516129
11,"Ashburn, GA",2005_01,-83.65,31.71,110.07,478.125
13,"Athens, GA",2005_01,-83.38,33.96,65.93,470
8,"Blackshear, GA",2005_01,-82.24,31.31,98.69,410.5263158
5,"Blakely, GA",2005_01,-84.93,31.38,66.62,489.6551724
2,"Calhoun, GA",2005_01,-84.95,34.5,140.43,498.9247312
20,"Carnesville, GA",2005_01,-83.24,34.37,,520.7865169
17,"Carrollton, GA",2005_01,-85.08,33.58,189.6,464.1304348
14,"Dixie Livestock Market, GA",2005_01,-82.32,32.37,119.78,498.5074627
9,"Donalsonville, GA",2005_01,-84.88,31.04,90.82,439.5833333
6,"Eastanollee, GA",2005_01,-83.26,34.52,118.53,507.2727273
3,"Fitzgerald, GA",2005_01,-83.25,31.72,115.77,429.4117647
0,"Greensboro, GA",2005_01,-83.18,33.58,85.03,517.1428571
18,"Jackson, GA",2005_01,-83.97,33.3,136.33,474.4047619
15,"Lanier, GA",2005_01,-84,34.28,73.05,486.9565217
10,"Moutlrie, GA",2005_01,-83.79,31.19,98.59,478.8461538
7,"Pulaski Co Stockyard, GA",2005_01,-83.47,32.28,99.82,432.278481
4,"Swainsboro, GA",2005_01,-82.33,32.6,122.23,454
1,"Thomaston, GA",2005_01,-84.33,32.89,87.23,421.4285714
19,"Thomasville, GA",2005_01,-83.98,30.84,22.68,462.9032258
16,"Washington, GA",2005_01,-82.74,33.74,54.28,487.9310345
13,"Americus, GA",2005_02,-84.23,32.07,103.97,471.7391304
11,"Ashburn, GA",2005_02,-83.65,31.71,60.45,460.7142857
14,"Athens, GA",2005_02,-83.38,33.96,58.62,490
9,"Blackshear, GA",2005_02,-82.24,31.31,171.59,478.125
6,"Blakely, GA",2005_02,-84.93,31.38,83.35,557.8431373
3,"Calhoun, GA",2005_02,-84.95,34.5,62.55,482.5396825
0,"Carnesville, GA",2005_02,-83.24,34.37,92.01,490.9722222
18,"Carrollton, GA",2005_02,-85.08,33.58,98.67,474.6575342
15,"Dixie Livestock Market, GA",2005_02,-82.32,32.37,112.92,475
10,"Donalsonville, GA",2005_02,-84.88,31.04,127.87,444.5454545
7,"Eastanollee, GA",2005_02,-83.26,34.52,70.28,485.3846154
4,"Fitzgerald, GA",2005_02,-83.25,31.72,118.58,427.6595745
1,"Greensboro, GA",2005_02,-83.18,33.58,80.75,478.3783784
19,"Jackson, GA",2005_02,-83.97,33.3,78.38,468.5185185
16,"Lanier, GA",2005_02,-84,34.28,79.09,484.4155844
12,"Moutlrie, GA",2005_02,-83.79,31.19,99.41,466.0377358
8,"Pulaski Co Stockyard, GA",2005_02,-83.47,32.28,113.15,463.2911392
5,"Swainsboro, GA",2005_02,-82.33,32.6,73.63,450.9615385
2,"Thomaston, GA",2005_02,-84.33,32.89,80.18,489.2857143
20,"Thomasville, GA",2005_02,-83.98,30.84,12.76,463.7931034
17,"Washington, GA",2005_02,-82.74,33.74,43.12,460.8695652
13,"Americus, GA",2005_03,-84.23,32.07,92.4,457.6086957
11,"Ashburn, GA",2005_03,-83.65,31.71,56.25,465.8119658
15,"Athens, GA",2005_03,-83.38,33.96,107.23,455.6179775
10,"Blackshear, GA",2005_03,-82.24,31.31,190.89,400
7,"Blakely, GA",2005_03,-84.93,31.38,87.55,539.8148148
4,"Calhoun, GA",2005_03,-84.95,34.5,65.05,479.2553191
19,"Carrollton, GA",2005_03,-85.08,33.58,27.52,469.047619
16,"Dixie Livestock Market, GA",2005_03,-82.32,32.37,91.95,485.7954545
12,"Donalsonville, GA",2005_03,-84.88,31.04,117.27,478.4090909
8,"Eastanollee, GA",2005_03,-83.26,34.52,51.73,447.826087
5,"Fitzgerald, GA",2005_03,-83.25,31.72,124.91,439.7260274
2,"Greensboro, GA",2005_03,-83.18,33.58,116.03,482.1428571
20,"Jackson, GA",2005_03,-83.97,33.3,83.64,510.8695652
17,"Lanier, GA",2005_03,-84,34.28,145.19,506.6666667
14,"Moutlrie, GA",2005_03,-83.79,31.19,55.13,489.8648649
9,"Pulaski Co Stockyard, GA",2005_03,-83.47,32.28,120.01,436.7346939
6,"Swainsboro, GA",2005_03,-82.33,32.6,94.45,472.3684211
3,"Thomaston, GA",2005_03,-84.33,32.89,67.15,419.6969697
0,"Thomasville, GA",2005_03,-83.98,30.84,46.02,466.4383562
18,"Washington, GA",2005_03,-82.74,33.74,54.79,457
13,"Americus, GA",2005_04,-84.23,32.07,182.14,466.1290323
11,"Ashburn, GA",2005_04,-83.65,31.71,100.5,435.9375
16,"Athens, GA",2005_04,-83.38,33.96,119.5,458.1967213
12,"Blackshear, GA",2005_04,-82.24,31.31,142.32,459.6153846
8,"Blakely, GA",2005_04,-84.93,31.38,107.81,505.8333333
5,"Calhoun, GA",2005_04,-84.95,34.5,81.67,474.21875
2,"Carnesville, GA",2005_04,-83.24,34.37,84.62,508.3333333
20,"Carrollton, GA",2005_04,-85.08,33.58,73.85,467.0886076
17,"Dixie Livestock Market, GA",2005_04,-82.32,32.37,140.11,474.6376812
14,"Donalsonville, GA",2005_04,-84.88,31.04,84.71,501.3888889
9,"Eastanollee, GA",2005_04,-83.26,34.52,40.31,491.1764706
6,"Fitzgerald, GA",2005_04,-83.25,31.72,72.96,424
3,"Greensboro, GA",2005_04,-83.18,33.58,118.05,487.3134328
0,"Jackson, GA",2005_04,-83.97,33.3,107.41,479.7297297
18,"Lanier, GA",2005_04,-84,34.28,95.95,507.3033708
15,"Moutlrie, GA",2005_04,-83.79,31.19,109.43,486.9863014
10,"Pulaski Co Stockyard, GA",2005_04,-83.47,32.28,95.53,435.5555556
7,"Swainsboro, GA",2005_04,-82.33,32.6,108.94,461.0169492
4,"Thomaston, GA",2005_04,-84.33,32.89,119.32,461.5384615
1,"Thomasville, GA",2005_04,-83.98,30.84,84.06,446.7391304
19,"Washington, GA",2005_04,-82.74,33.74,83.27,462.1621622
13,"Americus, GA",2005_05,-84.23,32.07,187.61,456.8181818
11,"Ashburn, GA",2005_05,-83.65,31.71,171.44,449.2537313
17,"Athens, GA",2005_05,-83.38,33.96,116.39,455.5555556
14,"Blackshear, GA",2005_05,-82.24,31.31,57.07,420.8333333
9,"Blakely, GA",2005_05,-84.93,31.38,99.44,544.1176471
6,"Calhoun, GA",2005_05,-84.95,34.5,61.83,510.4651163
3,"Carnesville, GA",2005_05,-83.24,34.37,106.03,495.5882353
0,"Carrollton, GA",2005_05,-85.08,33.58,167.6,473.9726027
18,"Dixie Livestock Market, GA",2005_05,-82.32,32.37,121.92,495.9459459
15,"Donalsonville, GA",2005_05,-84.88,31.04,74.17,500
10,"Eastanollee, GA",2005_05,-83.26,34.52,67.47,505.9322034
7,"Fitzgerald, GA",2005_05,-83.25,31.72,208.01,428.4090909
4,"Greensboro, GA",2005_05,-83.18,33.58,70.18,461.4583333
1,"Jackson, GA",2005_05,-83.97,33.3,116.09,492.1875
19,"Lanier, GA",2005_05,-84,34.28,106.53,506.0240964
16,"Moutlrie, GA",2005_05,-83.79,31.19,67.2,484.6153846
12,"Pulaski Co Stockyard, GA",2005_05,-83.47,32.28,52.68,459.1666667
8,"Swainsboro, GA",2005_05,-82.33,32.6,128.25,453.3333333
5,"Thomaston, GA",2005_05,-84.33,32.89,112.99,435.7142857
2,"Thomasville, GA",2005_05,-83.98,30.84,90.57,446.25
20,"Washington, GA",2005_05,-82.74,33.74,139.63,412.5
13,"Americus, GA",2005_06,-84.23,32.07,146.87,430
11,"Ashburn, GA",2005_06,-83.65,31.71,90.98,439.9122807
18,"Athens, GA",2005_06,-83.38,33.96,158.39,462
15,"Blackshear, GA",2005_06,-82.24,31.31,65.93,472.2222222
10,"Blakely, GA",2005_06,-84.93,31.38,166.23,487.3015873
7,"Calhoun, GA",2005_06,-84.95,34.5,66.21,505.2884615
4,"Carnesville, GA",2005_06,-83.24,34.37,107.84,500
1,"Carrollton, GA",2005_06,-85.08,33.58,223.66,484.4155844
19,"Dixie Livestock Market, GA",2005_06,-82.32,32.37,74.37,474.2647059
16,"Donalsonville, GA",2005_06,-84.88,31.04,54.66,477.1929825
12,"Eastanollee, GA",2005_06,-83.26,34.52,83.58,486.8421053
8,"Fitzgerald, GA",2005_06,-83.25,31.72,221.43,444.5783133
5,"Greensboro, GA",2005_06,-83.18,33.58,79.47,482.4324324
2,"Jackson, GA",2005_06,-83.97,33.3,85.55,475
20,"Lanier, GA",2005_06,-84,34.28,149.99,494.8051948
17,"Moutlrie, GA",2005_06,-83.79,31.19,47.03,471.1538462
14,"Pulaski Co Stockyard, GA",2005_06,-83.47,32.28,49.75,421.3235294
9,"Swainsboro, GA",2005_06,-82.33,32.6,,450
6,"Thomaston, GA",2005_06,-84.33,32.89,94.6,425
3,"Thomasville, GA",2005_06,-83.98,30.84,81.16,461.3636364
0,"Washington, GA",2005_06,-82.74,33.74,97.39,480.9090909
13,"Americus, GA",2005_07,-84.23,32.07,124.04,433.6734694
11,"Ashburn, GA",2005_07,-83.65,31.71,137.77,430.1470588
19,"Athens, GA",2005_07,-83.38,33.96,102.26,465.1515152
16,"Blackshear, GA",2005_07,-82.24,31.31,120.22,474.3243243
12,"Blakely, GA",2005_07,-84.93,31.38,91.42,507.7777778
8,"Calhoun, GA",2005_07,-84.95,34.5,59.84,511.2903226
5,"Carnesville, GA",2005_07,-83.24,34.37,76.6,478.6885246
2,"Carrollton, GA",2005_07,-85.08,33.58,138.82,491.9642857
20,"Dixie Livestock Market, GA",2005_07,-82.32,32.37,65.42,480
17,"Donalsonville, GA",2005_07,-84.88,31.04,140.13,474.1071429
14,"Eastanollee, GA",2005_07,-83.26,34.52,111.61,482.7868852
9,"Fitzgerald, GA",2005_07,-83.25,31.72,103.85,440
6,"Greensboro, GA",2005_07,-83.18,33.58,121.33,464.7727273
3,"Jackson, GA",2005_07,-83.97,33.3,97.06,484.6153846
0,"Lanier, GA",2005_07,-84,34.28,164.76,486.8421053
18,"Moutlrie, GA",2005_07,-83.79,31.19,83.45,493.5185185
15,"Pulaski Co Stockyard, GA",2005_07,-83.47,32.28,93.82,464.9122807
10,"Swainsboro, GA",2005_07,-82.33,32.6,,450
4,"Thomasville, GA",2005_07,-83.98,30.84,108.39,451.1363636
1,"Washington, GA",2005_07,-82.74,33.74,146.12,474.4444444
13,"Americus, GA",2005_08,-84.23,32.07,90.49,458.4615385
11,"Ashburn, GA",2005_08,-83.65,31.71,129.43,471.9047619
20,"Athens, GA",2005_08,-83.38,33.96,78.19,489.375
17,"Blackshear, GA",2005_08,-82.24,31.31,94.94,447.0588235
14,"Blakely, GA",2005_08,-84.93,31.38,160.23,529.1666667
9,"Calhoun, GA",2005_08,-84.95,34.5,78,518.5393258
6,"Carnesville, GA",2005_08,-83.24,34.37,96.64,509.7014925
3,"Carrollton, GA",2005_08,-85.08,33.58,77.59,484.8958333
0,"Dixie Livestock Market, GA",2005_08,-82.32,32.37,59.56,492.2222222
18,"Donalsonville, GA",2005_08,-84.88,31.04,59.6,460.7954545
15,"Eastanollee, GA",2005_08,-83.26,34.52,125.51,487.2881356
10,"Fitzgerald, GA",2005_08,-83.25,31.72,87.03,449.1525424
7,"Greensboro, GA",2005_08,-83.18,33.58,137.86,522.3214286
4,"Jackson, GA",2005_08,-83.97,33.3,89.22,473.4042553
1,"Lanier, GA",2005_08,-84,34.28,41.52,496.5
